Country,RD_PER_MILLION
Aruba,0
Africa Eastern and Southern,0
Afghanistan,0
Africa Western and Central,0
Angola,52.4101905822754
Albania,157.343643188477
Andorra,0
Arab World,0
United Arab Emirates,0
Argentina,16286.1627807617
Armenia,0
American Samoa,744.473022460937
Antigua and Barbuda,0
Australia,31056.6875
Austria,50559.6333007813
Azerbaijan,0
Burundi,0
Belgium,62566.1967773438
Benin,0
Burkina Faso,47.4949989318848
Bangladesh,0
Bulgaria,27480.7449951172
Bahrain,361.986297607422
"Bahamas, The",0
Bosnia and Herzegovina,1192.10018539429
Belarus,0
Belize,0
Bermuda,0
Bolivia,774.216484069825
Brazil,6085.87255859375
Barbados,0
Brunei Darussalam,855.140014648438
Bhutan,0
Botswana,164.898895263672
Central African Republic,0
Canada,72369.2692871094
Central Europe and the Baltics,0
Switzerland,18001.3435058594
Channel Islands,0
Chile,2811.18533325195
China,14913.4554748535
Cote d'Ivoire,69.9840469360352
Cameroon,0
"Congo, Dem. Rep.",0
"Congo, Rep.",210.185703277588
Colombia,2189.1051864624
Comoros,0
Cabo Verde,282.833091735839
Costa Rica,4885.08527374268
Caribbean small states,0
Cuba,0
Curacao,0
Cayman Islands,0
Cyprus,10348.6224975586
Czech Republic,41178.1900634766
Germany,67483.1462402344
Djibouti,0
Dominica,0
Denmark,92390.1853027344
Dominican Republic,0
Algeria,168.120086669922
East Asia & Pacific (excluding high income),0
Early-demographic dividend,0
East Asia & Pacific,0
Europe & Central Asia (excluding high income),0
Europe & Central Asia,0
Ecuador,1054.99726104736
"Egypt, Arab Rep.",4255.48681640625
Euro area,0
Eritrea,0
Spain,43255.7379150391
Estonia,45513.3135986329
Ethiopia,128.344678878784
European Union,0
Fragile and conflict affected situations,0
Finland,129194.885742188
Fiji,0
France,64083.9750976563
Faroe Islands,1780.24340820313
"Micronesia, Fed. Sts.",0
Gabon,0
United Kingdom,68519.0017089844
Georgia,1147.04510498047
Ghana,56.0934391021729
Gibraltar,0
Guinea,0
"Gambia, The",240.406646728515
Guinea-Bissau,0
Equatorial Guinea,0
Greece,20348.0783081055
Grenada,0
Greenland,2423.923828125
Guatemala,240.041027069092
Guam,904.225524902344
Guyana,0
High income,0
"Hong Kong SAR, China",35913.7365722657
Honduras,0
Heavily indebted poor countries (HIPC),0
Croatia,25188.603515625
Haiti,0
Hungary,32630.5189208985
IBRD only,0
IDA & IBRD total,0
IDA total,0
IDA blend,0
Indonesia,501.394546508789
IDA only,0
Isle of Man,0
India,670.103332519531
Not classified,0
Ireland,51765.2547607422
"Iran, Islamic Rep.",3602.71301269531
Iraq,2063.33516693115
Iceland,79783.43359375
Israel,15551.6577148438
Italy,27904.6086425781
Jamaica,0
Jordan,1966.96667480469
Japan,98408.6611328125
Kazakhstan,3225.17758178711
Kenya,287.251190185547
Kyrgyz Republic,0
Cambodia,17.5800590515137
Kiribati,0
St. Kitts and Nevis,0
"Korea, Rep.",76894.6971435547
Kuwait,2605.80607604981
Latin America & Caribbean (excluding high income),7347.36682147949
Lao PDR,15.8114500045776
Lebanon,0
Liberia,0
Libya,0
St. Lucia,0
Latin America & Caribbean,0
Least developed countries: UN classification,0
Low income,0
Liechtenstein,0
Sri Lanka,869.865707397461
Lower middle income,0
Low & middle income,1902.69346493698
Lesotho,53.5880994796753
Late-demographic dividend,0
Lithuania,46190.3037109376
Luxembourg,60182.2492675781
Latvia,30148.8997802735
"Macao SAR, China",7926.79425048828
St. Martin (French part),0
Morocco,4388.75244140625
Monaco,0
Moldova,7885.13317871094
Madagascar,576.551765441894
Maldives,0
Middle East & North Africa,0
Mexico,4657.70649719238
Marshall Islands,0
Middle income,2460.8490728964
North Macedonia,10495.7449035645
Mali,67.7172508239746
Malta,18225.8408813477
Myanmar,54.3193202018737
Middle East & North Africa (excluding high income),0
Montenegro,2080.13427734375
Mongolia,0
Northern Mariana Islands,0
Mozambique,83.8412494659425
Mauritania,0
Mauritius,181.112335205078
Malawi,79.6227493286133
Malaysia,10315.7645111084
North America,0
Namibia,0
New Caledonia,0
Niger,41.6033706665039
Nigeria,38.5756301879883
Nicaragua,71.0310211181641
Netherlands,59265.2541503907
Norway,74512.1242675781
Nepal,61.1821098327637
Nauru,0
New Zealand,28232.4606933594
OECD members,0
Oman,448.198440551758
Other small states,0
Pakistan,808.694236755371
Panama,1754.60266113281
Peru,0
Philippines,585.241493225098
Palau,0
Papua New Guinea,0
Poland,30104.307006836
Pre-demographic dividend,0
Puerto Rico,260.120941162109
"Korea, Dem. People's Rep.",0
Portugal,48738.1610107422
Paraguay,709.306827545166
West Bank and Gaza,1198.45169067383
Pacific island small states,0
Post-demographic dividend,0
French Polynesia,0
Qatar,597.060729980469
Romania,18841.2351074219
Russian Federation,62601.5366210938
Rwanda,22.9355802536011
South Asia,0
Saudi Arabia,0
Sudan,0
Senegal,1266.77432250977
Singapore,94872.7138671875
Solomon Islands,0
Sierra Leone,0
El Salvador,0
San Marino,0
Somalia,0
Serbia,9880.15325927736
Sub-Saharan Africa (excluding high income),0
South Sudan,0
Sub-Saharan Africa,0
Small states,0
Sao Tome and Principe,0
Suriname,0
Slovak Republic,41620.115600586
Slovenia,55807.0711669922
Sweden,81521.75390625
Eswatini,0
Sint Maarten (Dutch part),0
Seychelles,146.483825683594
Syrian Arab Republic,0
Turks and Caicos Islands,0
Chad,0
East Asia & Pacific (IDA & IBRD countries),0
Europe & Central Asia (IDA & IBRD countries),0
Togo,289.042398452759
Thailand,3382.28733062744
Tajikistan,0
Turkmenistan,0
Latin America & the Caribbean (IDA & IBRD countries),0
Timor-Leste,0
Middle East & North Africa (IDA & IBRD countries),0
Tonga,0
South Asia (IDA & IBRD),0
Sub-Saharan Africa (IDA & IBRD countries),0
Trinidad and Tobago,0
Tunisia,11829.5717773438
Turkey,12101.6335144043
